ID,CELL_ID,AXIS_ORDINATE_ID
128,2741249_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_290
129,2740011_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_150
130,2741287_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_140
131,2739958_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_030
132,2739741_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
133,2740265_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_250
134,3151439_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_160
135,2740009_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
136,2760066_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_070
137,2740156_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_240
138,3153073_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_190
139,3153260_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_150
140,2760137_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_090
141,2786794_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_130
142,2741201_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_090
143,2741161_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_220
144,2741241_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_210
145,2740365_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_180
146,3153287_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
147,3170537_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_290
148,3152634_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_140
149,2739720_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_061
150,2741039_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_040
151,3152292_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_040
152,3152573_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
153,2739977_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
154,3152378_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_010
155,3151963_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
156,2786739_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
157,2740343_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_220
158,2786768_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
159,3170535_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_141
160,3152827_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_030
161,3151419_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_150
162,2760090_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
163,3173411_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
164,3153203_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_100
165,3152523_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
166,2740247_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
167,2740285_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_190
168,2760155_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_050
