AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_AE_EBA_F_35_00_c_AE_3_2_3,,Z,,EBA_AE_EBA_F_35.00.c_AE_3.2_3,,EBA_AE_EBA_F_35_00_c_AE_3_2,
EBA_AE_EBA_F_35_00_d_AE_2014-03_1,,X,,EBA_AE_EBA_F_35.00.d_AE_2014-03_1,,EBA_AE_EBA_F_35_00_d_AE_2014-03,
EBA_AE_EBA_F_35_00_d_AE_2014-03_2,,Y,,EBA_AE_EBA_F_35.00.d_AE_2014-03_2,,EBA_AE_EBA_F_35_00_d_AE_2014-03,
EBA_AE_EBA_F_35_00_d_AE_2014-03_3,,Z,,EBA_AE_EBA_F_35.00.d_AE_2014-03_3,,EBA_AE_EBA_F_35_00_d_AE_2014-03,
EBA_AE_EBA_F_35_00_d_AE_3_2_1,,X,,EBA_AE_EBA_F_35.00.d_AE_3.2_1,,EBA_AE_EBA_F_35_00_d_AE_3_2,
EBA_AE_EBA_F_35_00_d_AE_3_2_2,,Y,,EBA_AE_EBA_F_35.00.d_AE_3.2_2,,EBA_AE_EBA_F_35_00_d_AE_3_2,
EBA_AE_EBA_F_35_00_d_AE_3_2_3,,Z,,EBA_AE_EBA_F_35.00.d_AE_3.2_3,,EBA_AE_EBA_F_35_00_d_AE_3_2,
EBA_AE_EBA_F_36_01_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_36.01.a_AE_2014-03_1,,EBA_AE_EBA_F_36_01_a_AE_2014-03,
EBA_AE_EBA_F_36_01_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36.01.a_AE_2014-03_2,,EBA_AE_EBA_F_36_01_a_AE_2014-03,
EBA_AE_EBA_F_36_01_a_AE_3_0_1,,X,,EBA_AE_EBA_F_36.01.a_AE_3.0_1,,EBA_AE_EBA_F_36_01_a_AE_3_0,
EBA_AE_EBA_F_36_01_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_36.01.a_AE_3.0_2,,EBA_AE_EBA_F_36_01_a_AE_3_0,
EBA_AE_EBA_F_36_01_a_AE_3_2_1,,X,,EBA_AE_EBA_F_36.01.a_AE_3.2_1,,EBA_AE_EBA_F_36_01_a_AE_3_2,
EBA_AE_EBA_F_36_01_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_36.01.a_AE_3.2_2,,EBA_AE_EBA_F_36_01_a_AE_3_2,
EBA_AE_EBA_F_36_01_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_36.01.b_AE_2014-03_1,,EBA_AE_EBA_F_36_01_b_AE_2014-03,
EBA_AE_EBA_F_36_01_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36.01.b_AE_2014-03_2,,EBA_AE_EBA_F_36_01_b_AE_2014-03,
