ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
23732,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1125,3,EBA_ZZ_ECB6_x1074,,+,,
23733,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1155,3,EBA_ZZ_ECB6_x1080,,+,,
23734,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1103,3,EBA_ZZ_ECB6_x1071,,+,,
23735,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6144,3,EBA_ZZ_ECB6_x6077,,,,
23736,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6128,2,EBA_ZZ_ECB6_x6075,,,,
23737,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1101,3,EBA_ZZ_ECB6_x1071,,+,,
23738,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1157,3,EBA_ZZ_ECB6_x1080,,+,,
23739,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6131,3,EBA_ZZ_ECB6_x6075,,,,
23740,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6146,3,EBA_ZZ_ECB6_x6078,,,,
23741,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6115,3,EBA_ZZ_ECB6_x6073,,,,
23742,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1127,3,EBA_ZZ_ECB6_x1074,,+,,
23743,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1115,3,EBA_ZZ_ECB6_x1073,,+,,
23744,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1146,3,EBA_ZZ_ECB6_x1078,,+,,
23745,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1131,3,EBA_ZZ_ECB6_x1075,,+,,
23746,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6127,3,EBA_ZZ_ECB6_x6074,,,,
23747,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6157,3,EBA_ZZ_ECB6_x6080,,,,
23748,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6101,3,EBA_ZZ_ECB6_x6071,,,,
23749,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1128,2,EBA_ZZ_ECB6_x1075,,+,,
23750,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1144,3,EBA_ZZ_ECB6_x1077,,+,,
23751,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6156,3,EBA_ZZ_ECB6_x6080,,,,
23752,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6100,3,EBA_ZZ_ECB6_x6071,,,,
23753,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1129,3,EBA_ZZ_ECB6_x1075,,+,,
23754,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6126,3,EBA_ZZ_ECB6_x6074,,,,
23755,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6151,3,EBA_ZZ_ECB6_x6079,,,,
23756,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1147,3,EBA_ZZ_ECB6_x1078,,+,,
23757,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1114,3,EBA_ZZ_ECB6_x1073,,+,,
23758,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1130,3,EBA_ZZ_ECB6_x1075,,+,,
23759,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1151,3,EBA_ZZ_ECB6_x1079,,+,,
23760,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1126,3,EBA_ZZ_ECB6_x1074,,+,,
23761,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6130,3,EBA_ZZ_ECB6_x6075,,,,
23762,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6114,3,EBA_ZZ_ECB6_x6073,,,,
23763,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6147,3,EBA_ZZ_ECB6_x6078,,,,
23764,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6129,3,EBA_ZZ_ECB6_x6075,,,,
23765,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1100,3,EBA_ZZ_ECB6_x1071,,+,,
23766,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1156,3,EBA_ZZ_ECB6_x1080,,+,,
23767,EBA_AS_AS1000,EBA_AS_EBA_x2,2,EBA_AS_ECB6_x6001,,,,
23768,EBA_AS_AS1000,EBA_AS_EBA_x1,2,EBA_AS_ECB6_x6001,,,,
23769,EBA_AS_AS1000,EBA_AS_EBA_x2,2,EBA_AS_ECB6_x1001,,+,,
23770,EBA_AS_AS1000,EBA_AS_EBA_x1,2,EBA_AS_ECB6_x1001,,+,,
23771,EBA_AS_AS6000,EBA_AS_EBA_x2,2,EBA_AS_ECB6_x6001,>=,,,
23772,EBA_AS_AS6000,EBA_AS_EBA_x1,2,EBA_AS_ECB6_x6001,>=,,,
23773,EBA_TI_TI6001,EBA_TI_ECB6_x213,2,EBA_TI_EBA_x0,>=,,,
23774,EBA_ZZ_ZZ6036,EBA_ZZ_ECB6_x6420,2,EBA_ZZ_EBA_x0,>=,,,
23775,EBA_ZZ_ZZ6036,EBA_ZZ_ECB6_x6419,2,EBA_ZZ_EBA_x0,>=,,,
23776,EBA_RT_RT3,EBA_RT_EBA_x10,2,EBA_RT_EBA_x8,>=,+,,
23777,EBA_RT_RT3,EBA_RT_EBA_x11,2,EBA_RT_EBA_x8,>=,+,,
23778,EBA_LQ_LQ2,EBA_LQ_EBA_x113,4,EBA_LQ_EBA_x112,>=,,,
23779,EBA_LQ_LQ2,EBA_LQ_EBA_x112,3,EBA_LQ_EBA_x106,>=,,,
23780,EBA_LQ_LQ2,EBA_LQ_EBA_x109,5,EBA_LQ_EBA_x110,>=,,,
23781,EBA_LQ_LQ2,EBA_LQ_EBA_x114,5,EBA_LQ_EBA_x110,>=,,,
23782,EBA_LQ_LQ2,EBA_LQ_EBA_x110,4,EBA_LQ_EBA_x154,>=,,,
23783,EBA_LQ_LQ2,EBA_LQ_EBA_x154,3,EBA_LQ_EBA_x106,>=,,,
23784,EBA_LQ_LQ2,EBA_LQ_EBA_x106,2,EBA_LQ_EBA_x0,>=,,,
23785,EBA_LQ_LQ2,EBA_LQ_EBA_x115,5,EBA_LQ_EBA_x107,>=,,,
23786,EBA_LQ_LQ2,EBA_LQ_EBA_x107,4,EBA_LQ_EBA_x195,>=,,,
23787,EBA_LQ_LQ2,EBA_LQ_EBA_x116,5,EBA_LQ_EBA_x108,>=,,,
23788,EBA_LQ_LQ2,EBA_LQ_EBA_x108,4,EBA_LQ_EBA_x195,>=,,,
23789,EBA_LQ_LQ2,EBA_LQ_EBA_x195,3,EBA_LQ_EBA_x155,>=,,,
23790,EBA_LQ_LQ2,EBA_LQ_EBA_x78,3,EBA_LQ_EBA_x155,>=,,,
23791,EBA_LQ_LQ2,EBA_LQ_EBA_x155,2,EBA_LQ_EBA_x0,>=,,,
23792,EBA_AS_AS6000,EBA_AS_EBA_x6002,2,EBA_AS_ECB6_x6001,>=,,,
23793,EBA_AS_AS6000,EBA_AS_EBA_x6001,2,EBA_AS_ECB6_x6001,>=,,,
23794,EBA_LQ_LQ1,EBA_LQ_EBA_x49,2,EBA_LQ_EBA_x0,>=,+,,
23795,EBA_LQ_LQ1,EBA_LQ_EBA_x103,2,EBA_LQ_EBA_x0,>=,+,,
23796,EBA_ZZ_zz6126,EBA_ZZ_ECB6_x7117,2,EBA_ZZ_EBA_x0,>=,,,
23797,EBA_ZZ_zz6126,EBA_ZZ_ECB6_x7116,2,EBA_ZZ_EBA_x0,>=,,,
23798,EBA_ZZ_zz6126,EBA_ZZ_ECB6_x7115,2,EBA_ZZ_EBA_x0,>=,,,
23799,EBA_ZZ_zz6126,EBA_ZZ_ECB6_x6949,2,EBA_ZZ_EBA_x0,>=,,,
23800,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x65,2,EBA_ZZ_EBA_x327,>=,,,
23801,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x66,2,EBA_ZZ_EBA_x327,>=,,,
23802,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x67,2,EBA_ZZ_EBA_x327,>=,,,
23803,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x68,2,EBA_ZZ_EBA_x327,>=,,,
23804,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x69,2,EBA_ZZ_EBA_x327,>=,,,
23805,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x70,2,EBA_ZZ_EBA_x327,>=,,,
23806,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x71,2,EBA_ZZ_EBA_x327,>=,,,
23807,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x72,2,EBA_ZZ_EBA_x327,>=,,,
23808,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x73,2,EBA_ZZ_EBA_x327,>=,,,
23809,EBA_ZZ_ZZ18,EBA_ZZ_EBA_x74,2,EBA_ZZ_EBA_x327,>=,,,
