ID,CELL_ID,AXIS_ORDINATE_ID
59158,3153292_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59159,2740960_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
59160,2741216_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_230
59161,3151833_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_010
59162,3153059_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_011
59163,3153230_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
59164,3153318_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59165,3151422_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
59166,2760168_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
59167,2741249_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_290
59168,2740011_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_150
59169,2741287_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_140
59170,2739958_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_030
59171,2739741_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
59172,2740265_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_250
59173,3151439_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_160
59174,2740009_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
59175,2760066_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_070
59176,2740156_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_240
59177,3153073_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_190
59178,3153260_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_150
59179,2760137_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_090
59180,2786794_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_130
59181,2741201_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_090
59182,2741161_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_220
59183,2741241_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_210
59184,2740365_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_180
59185,3153287_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59186,3170537_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_290
59187,3152634_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_140
59188,2739720_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_061
59189,2741039_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_040
59190,3152292_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_040
59191,3152573_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
59192,2739977_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
59193,3152378_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_010
59194,3151963_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
59195,2786739_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
59196,2740343_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_220
59197,2786768_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
59198,3170535_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_141
59199,3152827_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_030
59200,3151419_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_150
59201,2760090_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
59202,3173411_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
59203,3153203_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_100
59204,3152523_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
59205,2740247_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
59206,2740285_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_190
59207,2760155_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_050
59208,3152770_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
59209,2739769_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
59210,2740044_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_200
59211,3151886_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_170
59212,3152796_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_015
59213,2741030_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
59214,2741053_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
59215,2740004_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_080
59216,3170276_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
59217,3152441_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_060
59218,2739943_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_010
59219,3152396_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_190
59220,3152832_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_270
59221,3153122_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_022
59222,3153239_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
59223,3151895_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_260
59224,2741293_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_199
59225,2739705_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_020
59226,3153311_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59227,2760047_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
59228,2740327_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_070
59229,2760161_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
59230,2760077_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_010
59231,2740273_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
59232,3152623_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
59233,3152821_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_090
59234,2760149_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_050
59235,2740387_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_130
59236,3152683_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_110
59237,2739961_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_060
59238,3152907_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_039
59239,3170257_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_020
59240,3152427_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_006
59241,2739775_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
59242,3170367_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_009
59243,2786774_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
59244,2741193_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_270
59245,2786725_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
59246,2740399_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_240
59247,2739807_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
59248,2740355_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
59249,3153080_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
59250,2739999_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
59251,2786720_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_174
59252,3153244_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_180
59253,2786730_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
59254,3151842_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_020
59255,3151928_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
59256,2786761_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
59257,2759984_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_080
59258,3173418_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
59259,2760008_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_237
59260,2739796_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_190
