MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,,BIRD_EIL,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,,,,,,,,,,
,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_OTC_PSTNS,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_OTC_PSTNS,,BIRD_EIL,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_OTC_PSTNS,,,,,,,,,,
,FNNCL_CNTRCT,FNNCL_CNTRCT,,BIRD_EIL,FNNCL_CNTRCT,,,,,,,,,,
,FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT,FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT,,BIRD_EIL,FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT,,,,,,,,,,
,FRAMEWORK,FRAMEWORK,,BIRD_EIL,FRAMEWORK,,,,,,,,,,
,FRAMEWORK_HIERARCHY,FRAMEWORK_HIERARCHY,,BIRD_EIL,FRAMEWORK_HIERARCHY,,,,,,,,,,
,FRAMEWORK_SUBDOMAIN,FRAMEWORK_SUBDOMAIN,,BIRD_EIL,FRAMEWORK_SUBDOMAIN,,,,,,,,,,
,FRAMEWORK_TABLE,FRAMEWORK_TABLE,,BIRD_EIL,FRAMEWORK_TABLE,,,,,,,,,,
,FR_VL_DCRS_CNTNGNT_ENCMBRNC,FR_VL_DCRS_CNTNGNT_ENCMBRNC,,BIRD_EIL,FR_VL_DCRS_CNTNGNT_ENCMBRNC,,,,,,,,,,
,F_01_01_REF_FINREP_3_0,F_01_01_REF_FINREP_3_0,,,F_01_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
