ID,MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
5942,CRRNCY_MWK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5943,CRRNCY_CAD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5944,CRRNCY_BZD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5945,CRRNCY_UYI,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5946,CRRNCY_XSU,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5947,CRRNCY_UYW,ISO4217,2018-08-29 00:00:00,9999-12-31 00:00:00,0
5948,CRRNCY_KWD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5949,CRRNCY_BWP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5950,CRRNCY_CLP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5951,CRRNCY_DOP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5952,CRRNCY_AMD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5953,CRRNCY_PGK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5954,CRRNCY_CNY,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5955,CRRNCY_ALL,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5956,CRRNCY_TMT,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5957,CRRNCY_XPT,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5958,CRRNCY_UGX,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5959,CRRNCY_ARS,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5960,CRRNCY_MXV,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5961,CRRNCY_AFN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5962,CRRNCY_RSD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5963,CRRNCY_HUF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5964,CRRNCY_PAB,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5965,CRRNCY_ERN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5966,CRRNCY_FJD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5967,CRRNCY_MGA,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5968,CRRNCY_SCR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5969,CRRNCY_EGP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5970,CRRNCY_JPY,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5971,CRRNCY_BYN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5972,CRRNCY_BMD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5973,CRRNCY_SZL,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5974,CRRNCY_KPW,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5975,CRRNCY_USN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5976,CRRNCY_FKP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5977,CRRNCY_ZWL,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5978,CRRNCY_RON,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5979,CRRNCY_VEF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5980,CRRNCY_AWG,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5981,CRRNCY_AED,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5982,CRRNCY_ILS,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5983,CRRNCY_ETB,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5984,CRRNCY_UYU,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5985,CRRNCY_XOF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5986,CRRNCY_GYD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
