CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2198,1080
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2201,1117
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,2206,1143
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2199,1067
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2198,1080
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2201,1117
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2206,1143
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2199,1067
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2198,1080
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2201,1117
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2206,1143
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2199,1067
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2198,1080
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2201,1117
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2206,1143
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2199,1067
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2198,1080
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2201,1117
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2206,1143
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,2199,1283
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,2198,1306
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,2201,1317
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,2206,1324
F_01_01_REF_FINREP_3_0:PRTY:Advances that are not loans:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Advances that are not loans,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Credit card debt:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Credit card debt,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Debt securities:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Debt securities,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Derivatives ETC:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Derivatives ETC,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Equity instruments instrument:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Equity instruments instrument,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Equity instruments security:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Equity instruments security,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Finance leases:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Finance leases,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:On demand and short notice:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:On demand and short notice,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Other loans:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Other loans,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Reverse repurchase agreements:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Reverse repurchase agreements,2203,1536
F_01_01_REF_FINREP_3_0:PRTY:Trade receivables:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Trade receivables,2203,1536
F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Debt securities:PRTY_RL_TYP:PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Debt securities,2204,1725
F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Derivatives ETC:PRTY_RL_TYP:PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Derivatives ETC,2204,1725
F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Equity instruments security:PRTY_RL_TYP:PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:SCRTY_ENTTY_RL_ASSGNMNT:Equity instruments security,2204,1725
F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Debt securities:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Debt securities,2207,1763
F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Derivatives ETC:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Derivatives ETC,2207,1763
F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Equity instruments security:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Equity instruments security,2207,1763
F_01_01_REF_FINREP_3_0:SCRTY_PSTN:Debt securities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:SCRTY_PSTN:Debt securities,2198,1829
F_01_01_REF_FINREP_3_0:SCRTY_PSTN:Equity instruments security:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:SCRTY_PSTN:Equity instruments security,2198,1829
